Date,Price,Open,High,Low,Vol.,Change %
Oct-84,7.223,7.528,7.603,7.1,2.24K,-3.44%
Nov-84,7.019,7.32,7.84,6.95,32.80K,-2.82%
Dec-84,6.383,6.98,7.165,6.245,8.97K,-9.06%
Jan-85,6.352,6.18,6.415,5.82,1.46K,-0.49%
Feb-85,5.625,6.2,6.332,5.535,17.69K,-11.45%
Mar-85,6.687,5.6,6.89,5.48,19.37K,18.88%
Apr-85,6.165,6.53,6.75,6.14,13.08K,-7.81%
May-85,6.156,6.14,6.7,5.98,10.35K,-0.15%
Jun-85,6.108,6.2,6.45,6.085,20.41K,-0.78%
Jul-85,6.284,6.085,6.39,5.8,9.98K,2.88%
Aug-85,6.24,6.18,6.405,6.11,14.46K,-0.70%
Sep-85,6.013,6.14,6.21,5.88,6.47K,-3.64%
Oct-85,6.084,6.02,6.36,6.02,3.80K,1.18%
Nov-85,6.085,6.125,6.28,6.025,15.18K,0.02%
Dec-85,5.826,6.1,6.12,5.7,15.03K,-4.26%
Jan-86,6.037,5.715,6.32,5.715,2.10K,3.62%
Feb-86,5.63,5.905,5.978,5.58,15.44K,-6.74%
Mar-86,5.13,5.61,5.83,5.19,7.48K,-8.88%
Apr-86,5.127,5.09,5.542,5,14.09K,-0.06%
May-86,5.239,5.11,5.27,4.85,11.46K,2.18%
Jun-86,5.102,5.15,5.44,4.93,14.16K,-2.61%
Jul-86,5.098,5.085,5.16,4.96,7.63K,-0.08%
Aug-86,5.147,5.11,5.55,5.08,7.78K,0.96%
Sep-86,5.569,5.44,6.02,5.155,7.78K,8.20%
Oct-86,5.654,5.54,5.835,5.52,0.58K,1.53%
Nov-86,5.271,5.709,5.82,5.21,15.52K,-6.77%
Dec-86,5.4,5.46,5.515,5.27,6.14K,2.45%
Jan-87,5.497,5.432,5.7,5.35,0.38K,1.80%
Feb-87,5.428,5.487,5.561,5.37,14.42K,-1.26%
Mar-87,6.183,5.42,6.39,5.41,5.91K,13.91%
Apr-87,7.984,6.231,11.25,6.23,100.63K,29.13%
May-87,7.62,7.9,9.52,7.35,9.29K,-4.56%
Jun-87,7.312,7.315,8.09,6.75,15.74K,-4.04%
Jul-87,8.3,7.22,8.299,7.16,5.64K,13.51%
Aug-87,7.383,8.665,8.8,7.23,12.16K,-11.05%
Sep-87,7.5,7.47,8.08,7.22,6.45K,1.58%
Oct-87,6.95,7.55,8.37,6.885,1.42K,-7.33%
Nov-87,7.037,6.98,7.33,6.19,4.05K,1.25%
Dec-87,6.682,7.03,7.06,6.56,5.12K,-5.04%
Jan-88,6.505,6.52,7,6.49,0.48K,-2.65%
Feb-88,6.239,6.522,6.59,6.08,15.53K,-4.09%
Mar-88,6.755,6.21,6.75,6.15,4.89K,8.27%
